Monthly AMOC Index (NADW)\Year\Month\Trajectory ID
20.08194	1	30-May-1804	5
19.95498	1	10-Jun-1804	5
19.31202	1	20-Jun-1804	5
19.73745	1	30-Jun-1804	5
19.88681	1	10-Jul-1804	5
19.42734	1	20-Jul-1804	5
19.47998	1	30-Jul-1804	5
19.78616	1	10-Aug-1804	5
19.19578	1	20-Aug-1804	5
18.99685	1	30-Aug-1804	5
19.60065	1	10-Sep-1804	5
19.68137	1	20-Sep-1804	5
19.18261	1	30-Sep-1804	5
20.29505	1	10-Oct-1804	5
18.76095	1	20-Oct-1804	5
19.02559	1	30-Oct-1804	5
15.98966	1	10-Nov-1804	5
17.00723	1	20-Nov-1804	5
17.20958	1	30-Nov-1804	5
18.32213	1	10-Dec-1804	5
16.30494	1	20-Dec-1804	5
16.18470	1	30-Dec-1804	5
17.03341	1	10-Jan-1805	5
16.35453	1	20-Jan-1805	5
15.50610	1	30-Jan-1805	5
19.72085	1	10-Feb-1804	6
16.98365	1	20-Feb-1804	6
19.93310	1	30-Feb-1804	6
20.66188	1	10-Mar-1804	6
20.54206	1	20-Mar-1804	6
20.14229	1	30-Mar-1804	6
19.87869	1	10-Apr-1804	6
21.33347	1	20-Apr-1804	6
19.27723	1	30-Apr-1804	6
18.42537	1	10-May-1804	6
19.35646	1	20-May-1804	6
19.56558	1	30-May-1804	6
19.82776	1	10-Jun-1804	6
19.76349	1	20-Jun-1804	6
19.27733	1	30-Jun-1804	6
18.93657	1	10-Jul-1804	6
19.68065	1	20-Jul-1804	6
19.16970	1	30-Jul-1804	6
19.34706	1	10-Aug-1804	6
18.91357	1	20-Aug-1804	6
18.40044	1	30-Aug-1804	6
19.44870	1	10-Sep-1804	6
20.12621	1	20-Sep-1804	6
20.29870	1	30-Sep-1804	6
19.84007	1	10-Oct-1804	6
18.82666	1	20-Oct-1804	6
17.97180	1	30-Oct-1804	6
15.73496	1	10-Nov-1804	6
16.58566	1	20-Nov-1804	6
19.12704	1	30-Nov-1804	6
